id	qihao	riqi	shunxu1	shunxu2	shunxu3	shunxu4	shunxu5	shunxu6	lan	hsorts	hmd5	amd5
458	206094	2006-08-13	17	18	33	16	24	15	13	15,16,17,18,24,33	a7b1ff8a180d974df077c76e49bdd4f0	49a3fcb9e21a82d7b3ec1c6c09d669d2
459	206095	2006-08-15	29	17	3	20	21	1	16	1,3,17,20,21,29	afb540c513a86424b68e659bba0d422f	af0f5dc8b307e52fd63908008c707299
460	206096	2006-08-17	33	9	18	13	5	1	14	1,5,9,13,18,33	24e308bfd571491ea628cdb00a50f7c9	3f5f1ef59928f4d8a05ce1244615a135
461	206097	2006-08-20	11	20	14	15	26	27	12	11,14,15,20,26,27	643ccb29e2d9f6ae25089de19d500c26	97497cf8294ffd88f59476beb27a3e27
462	206098	2006-08-22	10	6	7	11	18	23	16	6,7,10,11,18,23	70d51eaf14e3118fb7c016bdcffe6647	23206ef35e7f3393342c263c2244a55e
463	206099	2006-08-24	12	24	27	18	9	23	5	9,12,18,23,24,27	497af5eb9f4202e9253b6fd64f8c0152	d163e6c28ea15a638c2b12b032f423fc
464	206100	2006-08-27	32	30	26	18	1	11	3	1,11,18,26,30,32	4b846edceff08be80180122c6441cc56	d21996e7c3db5e056dc258121e1660a7
465	206101	2006-08-29	12	9	27	26	28	20	16	9,12,20,26,27,28	0030f20a6266029b2965a4d2ec185f7d	3bad670532d6b590729b8bcab6155ac8
466	206102	2006-08-31	19	20	24	13	1	4	11	1,4,13,19,20,24	e57b796703db6b64a8e14ec289a05b6c	10e1654c6de03ac84d7a576555f00bf7
467	206103	2006-09-03	28	12	31	25	14	15	6	12,14,15,25,28,31	1af3bffa7145da06f0c2953d66e31133	50951c17ed8882d843feca9f57f9707f
468	206104	2006-09-05	7	3	22	28	31	27	11	3,7,22,27,28,31	3fbe91dca56d23e115a2e433ecc37688	f521ca4ae744c4b651c1e668aa713e8a
469	206105	2006-09-07	15	14	31	5	12	20	1	5,12,14,15,20,31	7199d8c864eec6fa48467a8b7358d170	77252c8d21c2e3464886a644f66ae1f3
470	206106	2006-09-10	2	28	12	19	14	33	10	2,12,14,19,28,33	f6b7486e391879057afab89caab44d5a	880bf7f45b6d35482719c4edd75b1c63
471	206107	2006-09-12	30	13	8	1	17	6	7	1,6,8,13,17,30	8284c797b4222a132eca97cbec04a840	cb1c361d73725725ab002f8eae713e59
472	206108	2006-09-14	8	6	30	24	2	20	9	2,6,8,20,24,30	0a53001862910374a06be1f26b797b80	c1d61ca889985b157dd9bbedc1f1c600
473	206109	2006-09-17	5	18	17	1	26	23	13	1,5,17,18,23,26	57885221856fec8ca85d27f506b6d31c	1e36574c9992ab10b3e982562e54b048
474	206110	2006-09-19	14	33	18	12	9	27	13	9,12,14,18,27,33	ebf715c255faf1fdd74c537c0a8b70ec	fb38900107f95c6822aeb8092be96ade
475	206111	2006-09-21	11	8	22	1	17	16	15	1,8,11,16,17,22	b05003c45b8e221cfeb6ec6d4a35bae2	f2266c653a787de7fd63deeb34d6a7a3
476	206112	2006-09-24	13	33	31	15	4	9	11	4,9,13,15,31,33	f451090481d9826eb096a02d22318984	47eb097a7b85cec70010c2cbfafaece0
477	206113	2006-09-26	14	18	28	5	33	17	2	5,14,17,18,28,33	ce81a7b35964fb682b8fdf2ede0dbb84	2379c09fc7efe9fc1bd55ddcf3492aa5
478	206114	2006-09-28	29	27	8	20	14	10	16	8,10,14,20,27,29	b9ced411f922a8a4746b23645ada9fea	a2d1978b0ddb6fb94606cda0f5763058
479	206115	2006-10-01	1	29	26	20	28	10	15	1,10,20,26,28,29	f87388623daf679c2dc648a9c0000ecf	4876ca3e81ddd05b5e305d7945ff0617
480	206116	2006-10-03	33	21	32	22	5	16	9	5,16,21,22,32,33	a8fe1708fcdc7f89e2357743297f6212	47c97186db2127167a2b269f2b32be33
481	206117	2006-10-05	20	22	23	26	14	6	9	6,14,20,22,23,26	8ab584ab75cba61c0cec2e134bdb5fab	1431edd1424d04461b0281afede50030
482	206118	2006-10-08	1	7	8	3	30	10	5	1,3,7,8,10,30	b9c0966c190f0965dce85485ce789013	f08550f4b59643e445eaa06feb146882
483	206119	2006-10-10	1	20	30	27	2	14	2	1,2,14,20,27,30	d48a99d1711d71df004418975f58f72b	1b3fb2451171cd70f0d6cf71239e9c86
484	206120	2006-10-12	8	15	6	24	33	14	9	6,8,14,15,24,33	6bd181093d100c95989d431b7b445da2	b7a8e6fb21220392a8e8ca242490178f
485	206121	2006-10-15	4	3	6	33	31	27	6	3,4,6,27,31,33	b9fc5352b691cc631fea48a3abaa5ba5	771b1893e4e6daf549c7bf15cb0a6764
486	206122	2006-10-17	24	6	5	22	8	4	3	4,5,6,8,22,24	2f5eff17b8c5b521c0ff2e4c3a766efa	190d5a7eeea7ec299dce76725f61ba55
487	206123	2006-10-19	20	2	25	3	28	32	6	2,3,20,25,28,32	041cb88a1c48625bcf48cc76a643fc9d	776c33f81bc8b07f5d292f6927861b2a
488	206124	2006-10-22	31	18	13	32	14	12	13	12,13,14,18,31,32	ca4250c0bc9c5dad3b5d472f4f0c4e23	4598516f3e6a3f7cb5549a7e2634968b
489	206125	2006-10-24	19	33	32	30	23	15	6	15,19,23,30,32,33	e45c709ff8923ca3a58c838365959007	f57cdcea13421e4e1bde73e2c3339863
490	206126	2006-10-26	2	16	24	33	8	13	9	2,8,13,16,24,33	172813d61a70658683a68332f2bf687c	608d32568c85ab7c1a8cc6f9f1edb56e
491	206127	2006-10-29	11	3	17	19	4	30	1	3,4,11,17,19,30	6d8c8fcb6bc69cfd305447710be6207b	62174d9c0194a5503b10460933eb8f41
492	206128	2006-10-31	30	21	33	15	31	4	5	4,15,21,30,31,33	0ddc72ca234620c56a640d6afb56faa4	bdd3ef92f7fd531352c6639730c4c36e
493	206129	2006-11-02	29	18	22	14	27	9	12	9,14,18,22,27,29	2b19cf23f807f27a627b22a20d99c3f4	2e3e8f8989e7c0ab54e79a62416e5670
494	206130	2006-11-05	12	32	30	22	1	21	2	1,12,21,22,30,32	542191309458a1f2d116f178dd9f4410	ade54472693a0a6a0d9fd263b8a52cc0
495	206131	2006-11-07	4	9	26	33	3	22	1	3,4,9,22,26,33	20efbaf063127618503e603154a874c0	b2fc350ae20468140669b117b5e503d1
496	206132	2006-11-09	26	33	14	6	30	22	1	6,14,22,26,30,33	9383c156216becf3dae0b6e51894fa1d	29353a361a09172614eae8d303c9aef1
497	206133	2006-11-12	29	4	20	31	25	6	3	4,6,20,25,29,31	e8eb9e8c979830c938e4bad2b9fd5ea1	df71585d02acb5a63552007ea74e9553
498	206134	2006-11-14	13	30	28	26	18	10	12	10,13,18,26,28,30	88dca15a9a17f92b98610aa1c2ac966a	03ae2045478d4d96e7b1cf6d05d0223a
499	206135	2006-11-16	23	19	4	22	21	31	4	4,19,21,22,23,31	2ef10cf8ee920fbcdb532544bdf8e037	d07420253f3abe3b2cea2efca6c4f597
500	206136	2006-11-19	15	24	22	21	11	17	5	11,15,17,21,22,24	e4a49f815ceebbf54aa6c3cf6014f373	f0059257505d08201e139c6e3eae6384
501	206137	2006-11-21	14	31	27	10	17	21	9	10,14,17,21,27,31	566e76918f97c48fc73bb5a4c4413c95	9526b2cecc3ebfbe71875c4ddc8d6f03
502	206138	2006-11-23	4	11	9	26	17	18	8	4,9,11,17,18,26	badafe422891461c9eb405d3fc93b2ec	b5014b28a126393e71cf7bc3ca8d6e38
503	206139	2006-11-26	7	8	14	23	21	25	5	7,8,14,21,23,25	0dd2d8ed4bf3e730d607e1f695488462	baf812bb96133726eb7b582f8ef0e3c3
504	206140	2006-11-28	23	8	18	1	19	11	5	1,8,11,18,19,23	e7b94bf349465293b40fde02ad4b28d5	e8403fdcde2cc6a8905b25b2aec0a91c
505	206141	2006-11-30	25	31	22	18	16	23	11	16,18,22,23,25,31	260c6640af2034d72941ab7a4c29dbf1	aead6a3d537822ade1f223c5fe1b83db
506	206142	2006-12-03	27	10	26	22	16	19	16	10,16,19,22,26,27	c47a54d6cfb2952af8aa2ab619fbf908	c7b061bb12277d4b25cd6a0762509dcb
507	206143	2006-12-05	29	1	15	31	32	20	8	1,15,20,29,31,32	2a4ab28623c08a48cd466c7d4fe15c57	935deb24b1f5e1c0267bf7fb1782759e
508	206144	2006-12-07	22	4	29	13	10	16	6	4,10,13,16,22,29	2779eba6b69337f4e7a6e3d45df72f76	759f4405c4353fbce732dc8cc8dd4030
509	206145	2006-12-10	2	7	23	31	26	28	7	2,7,23,26,28,31	87cbc7ec378c7cb39e7ab8d2d3aa4a29	a2db3e366f3bba4bbe2cada897e18d1f
510	206146	2006-12-12	28	23	30	9	3	13	5	3,9,13,23,28,30	2de6998b9f462ef8e5cc2bf4f29d6e21	9ae445d7e4a622d71f3e1ca94c44bc3d
511	206147	2006-12-14	1	17	31	15	27	4	1	1,4,15,17,27,31	56487ba6d8fe2a0f329c5ad3b32f985d	1dcf20c2e9bc12f7f31b6599edfc6072
512	206148	2006-12-17	8	12	13	23	29	4	1	4,8,12,13,23,29	ebd8b26b3176e26e13c80fc1719be196	c3ca2844c36f9b6253748967b46a2284
513	206149	2006-12-19	5	2	15	32	11	3	15	2,3,5,11,15,32	25895a097ce8d19c1e60d3a922fedf38	0d4093c8dbce1e0e2b0384141311aaa7
514	206150	2006-12-21	27	25	9	18	8	12	12	8,9,12,18,25,27	20c8a651402840cf060a34ef0b333cea	e0f7ac550815dd967cada331d267da6e
515	206151	2006-12-24	4	22	3	6	16	1	8	1,3,4,6,16,22	5b4de1caec327cfdff46b99a21129a40	b85242e41cc35b294b71c1e80eba84ac
516	206152	2006-12-26	1	20	25	31	14	27	15	1,14,20,25,27,31	edcca3ffce3542020646150380d37cbc	bd6708024e8285288e4e2776a0991e89
517	206153	2006-12-28	30	33	1	20	11	7	10	1,7,11,20,30,33	50638b16a292cbd143c5085ee53f2839	34baabae72ae747db423198233c7d667
518	206154	2006-12-31	7	18	14	30	20	33	13	7,14,18,20,30,33	377d15e67956d423ea389e7960db275b	624b8a38e99770d1feba7596815d165e
519	207001	2007-01-02	26	2	20	10	9	4	14	2,4,9,10,20,26	e1b43876cbb91ab29d171c35675c603f	f5fddb5745754c58ed13d9fd2f5897bd
520	207002	2007-01-04	22	20	6	14	21	5	1	5,6,14,20,21,22	31c76d44338909fc0950c0eab63b71a4	c3a79f1144d9e8ee8493332337618159
521	207003	2007-01-07	5	22	9	27	11	12	15	5,9,11,12,22,27	4638f780f892b15fb9007c497bbf283e	e0c63f33f084725eedb67d8c9118fdb2
522	207004	2007-01-09	25	3	33	7	10	13	10	3,7,10,13,25,33	c35c6dc1af448facd52111f5c1c46349	45e7666611efdcc5b16246ccadb03b22
523	207005	2007-01-11	6	24	16	1	5	30	12	1,5,6,16,24,30	1052fe0df044d2c610e59169f684a1e6	20a65f67f21e103f7b737ca3c116fd30
524	207006	2007-01-14	27	14	6	22	26	10	11	6,10,14,22,26,27	d3655a0f1b12d18e96d0b582bed59fe6	55d355583974b8100ac3c5cd51e5bc7f
525	207007	2007-01-16	32	15	4	17	22	12	14	4,12,15,17,22,32	cfc93eeb7db4911e528004b39682f0f3	cd97aae1cc186e27e960ad9618fe4a4f
526	207008	2007-01-18	4	25	18	5	19	1	10	1,4,5,18,19,25	0bccc7b9c600f22b1d2cce3ce2b9088f	df1a64b3f2d897fdfae527a506083036
527	207009	2007-01-21	15	4	27	2	25	14	15	2,4,14,15,25,27	31ae717b98447b4765dcdfb1406dc128	fcf9d96bc8802d6db579c53aa2195269
528	207010	2007-01-23	32	30	17	8	14	3	5	3,8,14,17,30,32	651a27fce86c8576094bc1919824dcb6	41b85ea712606379018b9b4849a70c2b
529	207011	2007-01-25	3	33	25	28	15	10	16	3,10,15,25,28,33	1015be5ad623a41fc60d46d22441c91a	281c90d919a82d0db54c5cb4f523021e
530	207012	2007-01-28	5	3	28	21	26	7	4	3,5,7,21,26,28	53ee96ba48cb0337296c18c9f1e223d7	724139307688eae717f288cdbae6376d
531	207013	2007-01-30	5	32	27	15	29	18	5	5,15,18,27,29,32	b2cb4c9959a4f2df9a56f1d8866815e2	6ba3e7da1163d65a9cc9203d0e4186af
532	207014	2007-02-01	24	13	16	1	20	26	9	1,13,16,20,24,26	2cc7a0d5d8adda38c55d35a350aeb87f	3748e9aefa13bbc72c925dae01f3c95e
533	207015	2007-02-04	4	30	3	22	18	8	15	3,4,8,18,22,30	83c712e5f205c43b88205fe708c4edf9	c1f12671408bf9ccd5bd4ebdc78def46
534	207016	2007-02-06	18	1	22	20	26	33	5	1,18,20,22,26,33	44a1e85d2b24aa3359d4dd88bee2cc77	2de4704289845fec8f2893daef5d6fae
535	207017	2007-02-08	25	9	24	10	5	32	14	5,9,10,24,25,32	bd674de25d5b28b30a9b550203b5d1b2	aac70db29a7ac9ff62e2f2d49646f2f1
536	207018	2007-02-11	26	21	20	1	12	18	11	1,12,18,20,21,26	db116217f43aa449e47c933849f2f5e0	575dc445dec25e9a6c1e2ba7ab012cb0
537	207019	2007-02-13	23	11	31	4	29	16	14	4,11,16,23,29,31	a0cebc1add968a270263e90c2d2fe50f	8af9099321cc645e8d00466bfc25ad50
538	207020	2007-02-15	20	5	31	10	28	16	14	5,10,16,20,28,31	2a2a423644840adc391b9b5481bc3fd8	08809523f42e0d06b89563c30aa4b3cc
539	207021	2007-02-25	11	25	3	6	31	9	13	3,6,9,11,25,31	9669ea3dc92e0767af3a7b2ddd7c5612	5df03fbe2a8dea48d4406216fd89c1d9
540	207022	2007-02-27	7	10	27	2	18	4	10	2,4,7,10,18,27	8fed398812cee0acb882d5b82b2b2934	df8669ff0e2eae746fb1f19a9d477e87
541	207023	2007-03-01	13	33	3	7	17	32	2	3,7,13,17,32,33	629a603977e509b05f75a72e86622e0d	90190f4dad2c26ed3fa720307cf66097
542	207024	2007-03-04	27	25	9	17	32	8	6	8,9,17,25,27,32	719b1764301a242356b7253d5ffdccd6	326c4cfd55389eed498de27269241258
543	207025	2007-03-06	18	26	3	22	16	23	3	3,16,18,22,23,26	90929d0320f777a11052673f61ad113e	0726c80bfd687e5e72cbcac0b2ef86e6
544	207026	2007-03-08	16	4	29	14	26	1	10	1,4,14,16,26,29	9faaa9edbc188b1856796a9f0fc49c32	a86abc4781f7fe2383d0230571a9f8dd
545	207027	2007-03-11	24	22	3	9	27	2	11	2,3,9,22,24,27	1745cea8525cd55e6069ba786b621b48	7d707f398d89a8b0610a299a5e824d9c
546	207028	2007-03-13	3	20	13	30	8	29	11	3,8,13,20,29,30	f9808b6e8efb656029860b15745162f5	4611d22cd6cd35e90a08ec035d7381c3
547	207029	2007-03-15	19	6	8	21	11	9	10	6,8,9,11,19,21	062d3ac49cb23653ca5b3065862edb87	a39533573f938b1df89268a983a96cde
548	207030	2007-03-18	30	16	27	22	3	21	4	3,16,21,22,27,30	8a68dca1b8c20c9e211cff7cff96e787	c831711101ede72a90aec5600bd50ffc
549	207031	2007-03-20	4	19	12	6	31	10	1	4,6,10,12,19,31	2afecfa9618b136f2916c91cba4c5776	7b7848e46da3a7a7343179e8e35faba1
550	207032	2007-03-22	8	16	32	24	4	30	16	4,8,16,24,30,32	59d7229f52fb80541303a9921383e68d	bfbf6eca8ae54ec84b6750e35dd6bd9c
551	207033	2007-03-25	18	4	3	17	11	28	9	3,4,11,17,18,28	5365f054cffe5b3dd54c6eb61b4fd7d3	fab7e432a1221ce8f667d3fcd7cb7bcb
552	207034	2007-03-27	14	2	9	12	25	23	16	2,9,12,14,23,25	fc1de89259c2b40010feed35540ff3a1	38b6b378623471e60d8dc80c6a19e68b
553	207035	2007-03-29	31	1	29	12	8	4	6	1,4,8,12,29,31	51712652fe4b6f1337f4323ec939883f	bd73dbbce86e43961342c2a3c68873d5
554	207036	2007-04-01	3	21	23	14	30	31	10	3,14,21,23,30,31	788a6a5cc28bbed9bfde775631b479b3	f526585a7c812e5091ebfbfd420feed7
555	207037	2007-04-03	23	10	11	31	16	33	16	10,11,16,23,31,33	7280d0e8abf574c03340314f7ad896fa	a7d0f1898e184bec52fd8fde3abeb495
556	207038	2007-04-05	11	30	21	3	14	19	5	3,11,14,19,21,30	a8507ef479f9d5f9ee1f1e1743ba8b1e	9553a9b649bd6062be23f83b7ec26e23
557	207039	2007-04-08	27	24	7	6	29	19	1	6,7,19,24,27,29	6cbde5b3adfe281604801235951e3823	9a746c691e71a23c9848b4f50ffd198c
558	207040	2007-04-10	19	30	14	13	24	15	10	13,14,15,19,24,30	9c4484b10f1b2be68e29c2dba3ae3f4b	2773b11ea77d66fc06fb1e7711140702
559	207041	2007-04-12	3	9	31	26	1	11	12	1,3,9,11,26,31	cb653e7a127465577dc498121f758b10	fb74dcb07ab0d8f31ae74ba31e209d7a
560	207042	2007-04-15	19	3	32	16	13	33	8	3,13,16,19,32,33	7ad81febced7e5860093d1409e6c70b6	5b04c1b7e47cb5ebb783acedcf41f88b
561	207043	2007-04-17	3	30	10	14	11	8	5	3,8,10,11,14,30	5cb0689c9e368f72250479699b634994	eceeb2cf682ced1c8102c3dc572d5ac2
562	207044	2007-04-19	9	24	21	20	13	32	8	9,13,20,21,24,32	a0aa3659b7e8a071d86922b5023e513a	c60b0ad79929909b123709b4986d91dd
563	207045	2007-04-22	28	12	30	21	18	1	10	1,12,18,21,28,30	0b8d8e931f2e8228a11f2f22bf2ca021	05a14b94d2266c10d80d0013c134b5d0
564	207046	2007-04-24	6	19	26	9	7	2	14	2,6,7,9,19,26	85bcc5be9a7ad7526a7d3f0d1ebd31a9	177cd2c467cbd96bb765eaaabaacb41c
565	207047	2007-04-26	4	23	16	2	18	30	6	2,4,16,18,23,30	bd47c880dc20cd92a128e280d57c8832	e5a52f80f5e55e43ea63164ee4158cd1
566	207048	2007-04-29	2	12	11	17	28	15	12	2,11,12,15,17,28	2aecee9bc54a2905dc9d5770eb783f68	a27b4448407b6817b9cc310115c4bb21
567	207049	2007-05-01	4	33	19	31	14	18	2	4,14,18,19,31,33	4134dcef87587572a377091fd7f5fdb5	f81272c1152884d8c1ce94bc9270b3df
568	207050	2007-05-03	25	13	18	5	1	8	2	1,5,8,13,18,25	ae58a572c540e198e87256f330f0f29f	2c3385a186416d801bd4c803b0bf7833
569	207051	2007-05-06	14	33	3	27	26	16	13	3,14,16,26,27,33	9687d30d3b2da990c099ea9171b121aa	a4b8eb7f3175635abc5beddcc0ea042f
570	207052	2007-05-08	3	2	8	7	26	29	7	2,3,7,8,26,29	846bfdbaee186ecb6ead4e7fa770baef	917b77f8ba18ef4644e6a3e68ffce663
571	207053	2007-05-10	13	17	18	16	27	10	11	10,13,16,17,18,27	9c0c175db87531cec82025b2f41616ca	9822b6ab63e7290e45e21cb914034808
572	207054	2007-05-13	28	16	18	23	3	1	5	1,3,16,18,23,28	a9e4b07cf4c4ad62fd3ff78b1d9c3a49	e7d71a7d89d7d5dee7c639ca11e76902
573	207055	2007-05-15	28	29	22	2	6	11	2	2,6,11,22,28,29	481d3a744b6f675972963b732c00e38e	079222df68374460f2f864d332dba80e
574	207056	2007-05-17	32	21	31	14	17	29	12	14,17,21,29,31,32	0363ec1cfd5e54eb6c0d5af5e9e91290	62f6968373e36b98d662bb79b8b39373
575	207057	2007-05-20	19	11	18	20	21	5	9	5,11,18,19,20,21	622b45beb263e6d30c6f38f0989b3d0f	a1cc5feae2477d08f2050eb516d855be
576	207058	2007-05-22	25	8	10	7	13	27	7	7,8,10,13,25,27	b5692d15ffa6e8f3ad0066997ad70438	1ec23bc28402a7255db3799541bdd331
577	207059	2007-05-24	4	1	3	6	29	7	14	1,3,4,6,7,29	6b59bc34dee92c9af49fa387f6922917	8fb25eedd6317cd7251e788ed8ff4abb
578	207060	2007-05-27	29	8	19	1	2	16	5	1,2,8,16,19,29	8cfbda613a88fc8d08d5828fedb9d21f	df1439b2bb0cc6cae79b4a09d534fd31
579	207061	2007-05-29	7	11	20	6	23	1	5	1,6,7,11,20,23	64e303d33d706ff88067c5caccb62692	5859db71dc8f9e1638007d1d71b45bb8
580	207062	2007-05-31	30	8	17	20	33	29	9	8,17,20,29,30,33	be1bc5df1f067522b9b9676b1f9d0733	bad7261136e2dbf59c50d0a79257b103
581	207063	2007-06-03	15	28	24	17	10	26	12	10,15,17,24,26,28	57bb96926520bbd37f8ed076afa21b08	f977eb4fd794e55f1b347afc5d2ac12c
582	207064	2007-06-05	21	9	2	23	6	16	16	2,6,9,16,21,23	91559be548f2ce4872cab192cfb7e17d	05afa8580cadf20d9492b96d44e4d65c
583	207065	2007-06-07	21	19	31	25	7	4	7	4,7,19,21,25,31	5b5df9c1eeb556ef1679bd0954b272e4	2c7a546b443b15ed0380a98063563c7b
584	207066	2007-06-10	32	33	11	24	16	5	8	5,11,16,24,32,33	214f3e60580531a32593f8d4d96f5744	e31f551f4d58600f14afb11dbcee1ff1
585	207067	2007-06-12	11	13	23	6	21	17	11	6,11,13,17,21,23	9c333b035c6f6b7ee02de6d31ddf4c70	0e2146d297bac0a5428ddbb9e1013a0a
586	207068	2007-06-14	23	18	19	11	28	22	1	11,18,19,22,23,28	b842a4d44244035b072f5f3ba854a94f	f0fd16570ef4b4608ca7e531a8ad3f2b
587	207069	2007-06-17	32	12	4	3	14	11	12	3,4,11,12,14,32	2d97b50cc0607c3294abb2f8fd02150b	00cd3d6ecc7e779afa83e7569cb65ab8
588	207070	2007-06-19	18	30	15	6	17	8	12	6,8,15,17,18,30	39976949484e084a12daac05cd40275c	2558e766c3d8d86ea91ce4896c568a47
589	207071	2007-06-21	1	14	21	31	6	30	9	1,6,14,21,30,31	332ec11c7f1aa47795a4b6029be8eebb	143dae76a35232daee56b5118425e720
590	207072	2007-06-24	4	13	14	33	2	8	16	2,4,8,13,14,33	c4afe307ffcb901cd1d5fe2f63d19deb	8ff72f2c310a85c46bb290bb6a7080b1
591	207073	2007-06-26	11	28	5	31	9	19	2	5,9,11,19,28,31	e8e8a6a834c2be35d8e2ed1cf2cf9a11	e7ba8511c96c1fcd80f51e19bac46e88
592	207074	2007-06-28	28	13	27	25	15	8	3	8,13,15,25,27,28	7dbb63a0ccbaf7e5f63bfe7646c8389d	82ea93cb388f597f7daf1455f745d3d1
593	207075	2007-07-01	17	22	32	13	16	30	3	13,16,17,22,30,32	3e21c1b0786ce18491195095e5c2070f	9cecec7a132c294e8bc4d2096468d3e2
594	207076	2007-07-03	6	16	15	12	20	31	2	6,12,15,16,20,31	1dd74286c474c91489d828438bafc420	5264373afd52e1300faa12a75f7eeb67
595	207077	2007-07-05	14	28	6	8	21	29	2	6,8,14,21,28,29	be23cab7785bb7ee563767da73b87c54	1b945307b99958f40a9d9f93b90ceb51
596	207078	2007-07-08	7	23	4	6	25	32	1	4,6,7,23,25,32	7d044180b96b4074f970d6f51ccc44ef	5fd6811efa980d2330ae4f694d443704
597	207079	2007-07-10	20	25	3	14	21	4	14	3,4,14,20,21,25	43d99aa379aa31f76d6a060520b3b875	4fee176487c7e50c0af5ae384452a833
598	207080	2007-07-12	18	8	29	16	1	19	4	1,8,16,18,19,29	bdced9cf432507aa9c5e95010bb8835d	ca5a827f5f7a00136a37022aa222b1b9
599	207081	2007-07-15	24	33	19	15	9	14	13	9,14,15,19,24,33	4f4501de49bfa349532d4d93a7d39571	72bb430803a6c16bc34f4210cea83a02
600	207082	2007-07-17	32	17	5	15	25	18	15	5,15,17,18,25,32	cd957c369c2047aafd1730e365a639d7	9dd02748cbce0eb9586a929b35eb5275
601	207083	2007-07-19	14	21	11	18	26	20	5	11,14,18,20,21,26	ede4901590f43972e5c8fcd073ead172	6e1b9b97c068b023f012d65ea3b701ca
602	207084	2007-07-22	14	20	12	6	27	10	10	6,10,12,14,20,27	c451504a705970a1b05dcda2e8571946	4bb808c8014fd01e997552f93b87199f
603	207085	2007-07-24	30	2	29	19	17	12	12	2,12,17,19,29,30	6a21abb6e680ef77d403156dac30b77e	335ebab5bf94844b375e779dd0e838bc
604	207086	2007-07-26	8	5	29	27	22	14	16	5,8,14,22,27,29	f967119882c7e21b6b9a68c9f3a105f8	33e8feddf03439046b317c32bca4049f
605	207087	2007-07-29	21	3	5	4	8	1	9	1,3,4,5,8,21	f14833c54f48335f86cf7fa70388e012	3592dc4a756c030a0ab7877ee07dc1e6
606	207088	2007-07-31	28	2	33	4	10	29	6	2,4,10,28,29,33	b8dcd39b170cb635ccbbd9a4c8d5d62a	798618aa7c8de1cc6a7a7be1ab6905c2
607	207089	2007-08-02	19	28	8	7	3	15	3	3,7,8,15,19,28	1ef365726969ebd4ad4fa5a2c2d5ac16	98897907db1ec24667dfd3870b21d1fd
608	207090	2007-08-05	30	31	27	5	13	11	2	5,11,13,27,30,31	b832d4c0c6905c061827fc8912cb9912	8aeb286761ae115fd9916486923489a6
609	207091	2007-08-07	30	11	32	17	31	2	7	2,11,17,30,31,32	c5f03425938900a8e0710ddb6ad9a449	52ad27260786db6964ac3ef4fa351c4b
610	207092	2007-08-09	24	14	23	18	22	33	9	14,18,22,23,24,33	6dccdd45c93e5ea6e41245d7a5b99f6d	30f7c08fd0517711f11999767e8a52bd
611	207093	2007-08-12	13	5	10	19	29	15	2	5,10,13,15,19,29	4b45f1e02d281494fa653bfdf2c073c6	77b3820df75f11c71e615b0c63ab35c0
612	207094	2007-08-14	19	3	24	18	5	32	2	3,5,18,19,24,32	d124162685ed5519f4b04fc03a2a91d0	90d16546483a9eec6f506b5c9f10a567
613	207095	2007-08-16	8	6	32	18	1	29	7	1,6,8,18,29,32	68752515daa66798bd3a078c3eed46ce	472cbae133fbca2164f776271b2e41f0
614	207096	2007-08-19	32	22	10	9	20	30	8	9,10,20,22,30,32	654ab74d9fc79388fb1f24d681be1d60	cf05571375a998c7f6553a4f901e20df
615	207097	2007-08-21	4	13	26	18	30	8	11	4,8,13,18,26,30	2204db19ae14f3daaf25905b3aceb39b	8115d7840cb3e9a2ef89e54f30c9fa6b
616	207098	2007-08-23	3	2	19	11	5	20	12	2,3,5,11,19,20	5ddc9f82b43c955a75b3e949cc882b01	1de5d607969d702fedfcb11fa208fa0a
617	207099	2007-08-26	31	3	33	4	27	14	5	3,4,14,27,31,33	c00f27e0b7a6bf722b4af6afaae3c190	ef42faa010244e4130022d5da69eb594
618	207100	2007-08-28	18	27	29	30	32	8	6	8,18,27,29,30,32	ce31ed844182767181691bc113f97eda	054fcd8f6fad20fe3b5dbfb3a806a2f1
619	207101	2007-08-30	18	16	15	22	30	21	14	15,16,18,21,22,30	71f6ca6cb35d2d27aa74b12fa8395f3f	0b6e2e8c1739c966b51d462ae8faaa9a
620	207102	2007-09-02	18	8	33	6	4	20	11	4,6,8,18,20,33	259d6d7a6383d7ef4b46e62a92211c4d	c52783b87d4e014dc8489d967b33c26e
621	207103	2007-09-04	25	7	27	32	30	9	1	7,9,25,27,30,32	d467c1e0214da1633399f98f52ceb2d0	ec02cf34fd74d8f4381b16b3c7ff1181
622	207104	2007-09-06	20	8	12	14	32	2	4	2,8,12,14,20,32	0fcf24046637ac96d87fd968d21ae5b5	63fc847c1a25aea8f9499e77ee924819
623	207105	2007-09-09	17	7	10	29	23	2	14	2,7,10,17,23,29	bbfa0acae30f4bd2c35ec53350921cb2	73b6b8011730c78ba93280839b85af69
624	207106	2007-09-11	12	18	21	24	25	29	8	12,18,21,24,25,29	c198f86950e6093b253afc66b0ae5bcd	ad887a09e961760e335b839334e052c4
625	207107	2007-09-13	28	9	8	2	24	18	10	2,8,9,18,24,28	ac1ec1f908e1ae1fa36f822774ff7195	a58a52f5e196a50f0b69d4922701384b
626	207108	2007-09-16	33	12	7	20	13	3	2	3,7,12,13,20,33	54553d7c55bb3989169746ea2d75437b	d391d162cc91dad6228441ba158d77cd
