id	qihao	riqi	shunxu1	shunxu2	shunxu3	shunxu4	shunxu5	shunxu6	lan	hsorts	hmd5	amd5
39	203039	2003-07-06	5	27	24	23	3	32	3	3,5,23,24,27,32	764a89d5927a83e656212782b251f768	313cf36fdd7bdd297cbfa8043e6cb9cc
40	203040	2003-07-10	23	14	4	5	12	6	16	4,5,6,12,14,23	9b6d4a08f945e0c9fbf5f380cbaedbac	f02209998b24b684683ae55a46c8ca29
41	203041	2003-07-13	17	18	24	3	2	25	11	2,3,17,18,24,25	c02b2a58061100568b0db738142ca0ae	62b14975118e46935191b557d22c12d7
42	203042	2003-07-17	20	5	10	15	3	7	7	3,5,7,10,15,20	36574c56662e526ab7060ad4bc66095f	546649e13ea300653711530079f2ba42
43	203043	2003-07-20	20	2	8	19	10	32	13	2,8,10,19,20,32	bcdaf52c9677c0f5b2f9583688bd156f	adb556fbd9c270dfdd261ed0d1e8d998
44	203044	2003-07-24	16	33	32	9	5	2	15	2,5,9,16,32,33	0835c19223fd8a3c6ace509e70fe2e3e	b3fc0315bdfda194b8e91c52865ed44d
45	203045	2003-07-27	3	15	17	7	32	14	3	3,7,14,15,17,32	66f5f1af6073bafee7b5653bf2f80e8d	232c0b4149093c702b7bc0ae2c2e8230
46	203046	2003-07-31	11	10	7	8	17	26	11	7,8,10,11,17,26	f2faebc116053d6e98e2e659fbeca834	3f2db6d11bf03ad7d64d14454cf9eced
47	203047	2003-08-03	3	32	17	26	33	28	16	3,17,26,28,32,33	459ba4a37c4fbb79fee557a953dd2b93	64e1228705e8b74caf13125f2880a7bd
48	203048	2003-08-07	31	28	30	20	12	10	9	10,12,20,28,30,31	d0da804b20819f10ccc60a8f0a2c5c2d	61674f89c91c2ee0eb2a912a1d23e0ec
49	203049	2003-08-10	24	25	13	3	6	7	15	3,6,7,13,24,25	5c7818790997a46b0d77f345c7feb880	7e07ea0eb7c3a7ecbd7f8209adc43b09
50	203050	2003-08-14	24	23	26	2	17	8	13	2,8,17,23,24,26	70970f1084e4e504cc5eae2da47ed39b	7c54d66594b71620d73a8056e445fd79
51	203051	2003-08-17	13	4	17	24	27	15	1	4,13,15,17,24,27	93d8993259d7fa4855affdc0e7eceebe	516293f51e6b9d7de6f74cc2c65ae047
52	203052	2003-08-21	1	30	12	13	31	23	11	1,12,13,23,30,31	07ba118cceddda4f1ffa019454ab0191	b5c0bc6b300cf7a976ef505e9f031de4
53	203053	2003-08-24	20	29	19	21	28	15	13	15,19,20,21,28,29	ad43000c2e8b298340f25051ed786e97	bbb2e23e97c0a856938eee75ef1d4a61
54	203054	2003-08-28	9	2	33	21	31	5	12	2,5,9,21,31,33	eaaf1139e2a11cd8157d97a4e44266d3	a7803e36f5d24ba4db450ee5cb98c5cb
55	203055	2003-08-31	28	13	16	6	31	21	16	6,13,16,21,28,31	9d6d0b6019b6fd5a954db7797452da3a	256c8257e74e4a4f0bd303bc2a218497
56	203056	2003-09-04	17	8	28	29	21	26	7	8,17,21,26,28,29	983031d43fb615b918b0f844988342a8	09d2a1ce18aeff955026b5f0995ec73d
57	203057	2003-09-07	25	31	18	24	30	19	16	18,19,24,25,30,31	eef4a42e4309e31f6b45f7c749b52872	9af66f2d01b2b8d2cce9b70419072f9f
58	203058	2003-09-11	11	32	33	16	9	28	2	9,11,16,28,32,33	010bde06639ad1e33cc2239559172cd3	695f5b1538e18f9aaf6eec665776b0b8
59	203059	2003-09-14	6	5	3	30	18	2	4	2,3,5,6,18,30	0dcf2743f977aa9b82c7fa74653bf0ee	3cb9e3a5fd8ffcd3bedc237fac2cef99
60	203060	2003-09-18	6	28	4	17	2	21	11	2,4,6,17,21,28	600d3d7e4edc1e3ea331e95fd12ccb39	6689588202588f32144a27db1e3ec001
61	203061	2003-09-21	28	20	32	21	5	3	2	3,5,20,21,28,32	7fddd5e7f120f0f104ae6d6a089da5c1	f24762c391da6ffe7d43bf1366654ae0
62	203062	2003-09-25	12	6	1	20	19	32	14	1,6,12,19,20,32	49c1fe49fb8ca9276de9cfe4514cf8db	6bd68c3ff1307c5239ec8d001bda67a5
63	203063	2003-09-28	8	9	33	5	14	21	11	5,8,9,14,21,33	a339ef875c85ee3b14e3b5e3647b1bb7	917d4a1b080faf9ba68cad11729aaac4
64	203064	2003-10-02	4	30	6	15	8	12	1	4,6,8,12,15,30	d1ff314277a3dcc5cb1fe48f0fd6b4ae	1288ba50e9a97386f2829642b03cd1ac
65	203065	2003-10-05	30	6	15	16	17	33	11	6,15,16,17,30,33	df2f6f8bcb4a774691c270e2cde3bab6	98eb758d3693f369d24f492e396c6cf2
66	203066	2003-10-09	32	20	7	3	8	24	14	3,7,8,20,24,32	6a5eb8aec33b18c7c9bfdb154630db10	8d4817e22c6fb9f74bf932223bc3770a
67	203067	2003-10-12	13	12	31	11	27	5	10	5,11,12,13,27,31	0bc9d88c07334fc23d6bd31c00a1832f	520dc9c340efff408ed2198270eb075a
68	203068	2003-10-16	27	9	25	32	19	33	11	9,19,25,27,32,33	462c3a428f25af031c114bc32062a174	77942582c71287dab69a2e29d3cff869
69	203069	2003-10-19	16	28	19	7	11	26	11	7,11,16,19,26,28	5e0c729691c5c88f899569cb44e3a0b8	7ddffaa7820e7f6319db9158b9add925
70	203070	2003-10-23	17	2	1	18	4	19	8	1,2,4,17,18,19	898657d49a7790b9f1b6d9407b8f3f8d	448ef302991b50bde682e929cfd4d80e
71	203071	2003-10-26	11	9	33	12	14	15	11	9,11,12,14,15,33	20b8b42bbe3c49b529a3066c3b0e76fe	8c7b477394197228f126ad0bd5ce33a0
72	203072	2003-10-30	27	3	19	6	8	11	11	3,6,8,11,19,27	e5c0a44cf2d72ab16d56bc5f249e05ab	2186a2ea1414e6b2a6a09d2cbb0ef13c
73	203073	2003-11-02	21	23	14	12	2	30	13	2,12,14,21,23,30	3530b88cf5f955c5e0427d69549cf07a	ac9536801352a400cf7c20c839645fef
74	203074	2003-11-06	32	12	2	22	19	27	1	2,12,19,22,27,32	5c765ba198981105e87a3e8e7d3bb269	9df1aad6092076efdce0b49735246f7d
75	203075	2003-11-09	17	22	31	33	16	19	11	16,17,19,22,31,33	485d56252324dcd454543a05352bba13	00c9ca1c3dac571ae3a559355f7d5822
76	203076	2003-11-13	13	18	29	20	1	16	2	1,13,16,18,20,29	f79bcb6a5ee9dd59c2018e40f4b21ff3	a395676e9f09e9b33c200aa0a634803d
77	203077	2003-11-16	24	16	12	4	22	25	6	4,12,16,22,24,25	8702ee9bdf72c403768e26e9d96c6788	b956caafe77a978f6406cb67c377ba76
78	203078	2003-11-20	26	23	30	12	29	7	11	7,12,23,26,29,30	ec90b469feb288fc14ff510e20ba912c	0d7310f260d193bc7b2cfd5047a3e0dc
79	203079	2003-11-23	23	31	22	12	26	15	4	12,15,22,23,26,31	f031ebdb42ad07a786421cd5a0d9c3b2	4ffa70a663964311ec6f6f95b72c49d7
80	203080	2003-11-27	24	28	20	9	30	25	10	9,20,24,25,28,30	59e5a96e64fcd1e4de47d006f131909f	e317462bd45c6a01152cf9b39d39a619
81	203081	2003-11-30	1	2	29	26	30	14	7	1,2,14,26,29,30	529394b3cc9da27059f091bb007ba2ab	97b816a16bf23fe9fb5236a90b5f567e
82	203082	2003-12-04	18	30	31	7	17	19	14	7,17,18,19,30,31	ed5995bdc57b1de58f9dc9e10f1990b6	ccc5aedd8a776543eb8c015426cc5fe8
83	203083	2003-12-07	28	1	18	14	3	26	1	1,3,14,18,26,28	6b26b5e2efd1449905de3313fb233456	08f36d37e8e511fb23ec24b3663a1d73
84	203084	2003-12-11	7	17	10	2	6	33	3	2,6,7,10,17,33	a928dd5bc4edbc25ca0a1118fe427b13	f1f86364c0db168ffdf7c68f144901ad
85	203085	2003-12-14	19	1	4	12	11	27	14	1,4,11,12,19,27	1e421e286e1009fdbb8c23f7abbb63ff	288b47e96c2b5be3a1449b68b2e63f9b
86	203086	2003-12-18	18	30	16	5	26	12	13	5,12,16,18,26,30	fecc4153240e8f8f9b263a77b1dc5135	ae86f751a48fd485547de1142459f9bb
87	203087	2003-12-21	5	2	4	24	28	3	13	2,3,4,5,24,28	75cb0fd95529a469d711541c3f61c062	872de92369003351d0238c6cf607e19f
88	203088	2003-12-25	10	21	24	3	33	22	12	3,10,21,22,24,33	eaf41bbbabc34f1f490831d7937b0137	062b1136b4099f241c8cca9a89f01572
89	203089	2003-12-28	26	19	21	33	27	18	16	18,19,21,26,27,33	cc7ff434403698280dad4204c00af80d	9526e05e4fa0e61ae870076e67a832e6
90	204001	2004-01-01	7	2	3	25	1	10	7	1,2,3,7,10,25	82b076242d40ae8b7879b0a2c4ca673b	91535b5a09941617e4e6bacb2bdbd21e
91	204002	2004-01-04	12	10	31	22	30	18	11	10,12,18,22,30,31	0ef4bba0dcf9340152849cec58e13cc8	88158f2c064573319a8cc49995923fcd
92	204003	2004-01-08	6	3	5	26	33	17	8	3,5,6,17,26,33	7f45be936b46c00eefef03c2f4651033	77cc180078a9a542af3f8e1d6e367b70
93	204004	2004-01-11	29	23	19	10	25	22	9	10,19,22,23,25,29	957b9fd20b7b013151f662551f0a591e	4a56a645c321eb55d307459963bbeb43
94	204005	2004-01-15	17	9	16	13	18	11	7	9,11,13,16,17,18	dcd6680d63e948fee7ea50263f18cd9f	17fd992cf199d5856392781021eae731
95	204006	2004-01-18	12	20	23	32	18	4	6	4,12,18,20,23,32	34a6197edb5fcc1eeaba54d87374e222	f9bd65514ccd8f07fe12a9b3aabc5e84
